,importance
implied_away,0.16253552
implied_home,0.1247785
elo_diff,0.09442444
league_pos_diff,0.050222084
elo_away,0.043188788
implied_draw,0.03722199
elo_home,0.026825907
home_points_last20,0.020698393
away_points_last20,0.015074212
home_league_pos_pct,0.014128622
away_league_pos_pct,0.013371605
overround,0.0118600875
home_goals_scored_last20,0.010964111
away_goals_scored_last20,0.010014278
home_goals_conceded_last20,0.0083854385
away_matches_last14,0.00795752
home_goals_conceded_last10,0.007627361
home_season_matches_played,0.007256108
away_season_matches_played,0.00721211
away_goals_conceded_last20,0.0071314797
away_shots_on_target_last10,0.0071213837
away_shots_on_target_last5,0.0071103484
away_points_last10,0.006945956
home_days_rest,0.0069176257
away_days_rest,0.0068812305
home_shots_on_target_last5,0.006809616
away_goals_conceded_last10,0.0068024057
season_stage,0.0066595594
home_streak,0.0066444906
home_points_last5,0.006639269
away_xg_scored_last5,0.006581825
home_matches_last14,0.0064848387
home_xg_conceded_last5,0.006441873
h2h_away_winrate,0.0064027077
home_elo_momentum,0.0063919397
home_goals_conceded_last5,0.006337839
away_xg_scored_last10,0.006323617
home_shots_on_target_last10,0.006319183
home_draw_rate_last20,0.006300447
home_xg_scored_last5,0.006291439
away_points_last5,0.006271846
home_goals_scored_last10,0.006248554
away_elo_momentum,0.006218472
home_total_goals_last5,0.006218021
h2h_away_goals_avg,0.006215859
home_points_last10,0.006205892
away_total_goals_last10,0.0061554187
away_goals_conceded_last5,0.0060700253
home_xg_conceded_last10,0.0060278424
home_draw_rate_last10,0.006026398
h2h_draw_rate,0.006019113
away_xg_conceded_last5,0.005961031
away_goals_scored_last10,0.0059574554
away_draw_rate_last20,0.0059466446
rest_diff,0.0059138197
h2h_home_goals_avg,0.0058976603
home_goals_scored_last5,0.005848174
away_clean_sheet_rate_last5,0.0058055865
home_clean_sheet_rate_last10,0.005789135
away_streak,0.005776372
home_xg_scored_last10,0.0057745795
away_clean_sheet_rate_last10,0.005750952
away_xg_conceded_last10,0.0057324823
away_goals_scored_last5,0.0057044644
away_total_goals_last5,0.0056598345
home_total_goals_last10,0.0056353975
away_draw_rate_last5,0.0056328787
home_clean_sheet_rate_last5,0.0054573365
h2h_home_winrate,0.0054353015
away_draw_rate_last10,0.0053503145
congestion_diff,0.005111062
home_draw_rate_last5,0.004895979
