,importance
elo_diff,0.1621652
league_pos_diff,0.07886329
elo_away,0.06748934
elo_home,0.0553555
home_points_last20,0.041962862
away_points_last20,0.035688166
home_goals_scored_last20,0.02046227
away_league_pos_pct,0.019551773
away_goals_scored_last20,0.019390259
home_points_last10,0.01535346
home_goals_conceded_last20,0.013225678
home_league_pos_pct,0.0114127975
away_goals_conceded_last20,0.011388061
away_shots_on_target_last10,0.010803971
away_shots_on_target_last5,0.0107577415
home_shots_on_target_last10,0.010635673
home_goals_conceded_last10,0.009872995
away_points_last10,0.009747981
home_shots_on_target_last5,0.009671709
h2h_away_winrate,0.009661051
away_goals_scored_last10,0.009546331
home_goals_scored_last10,0.009115734
overround,0.009072981
h2h_away_goals_avg,0.0089870095
away_goals_conceded_last10,0.008961857
h2h_home_winrate,0.008958386
away_xg_scored_last10,0.008852944
home_season_matches_played,0.008677636
home_matches_last14,0.008460767
away_goals_conceded_last5,0.008456154
away_season_matches_played,0.008421968
home_xg_conceded_last10,0.008293794
away_matches_last14,0.008288274
away_xg_scored_last5,0.0081026405
home_xg_conceded_last5,0.008035029
season_stage,0.007991996
home_goals_scored_last5,0.007933255
home_xg_scored_last5,0.007849086
away_clean_sheet_rate_last10,0.0077905566
home_clean_sheet_rate_last10,0.007776073
h2h_home_goals_avg,0.0077211666
home_goals_conceded_last5,0.0076383087
away_xg_conceded_last10,0.0076303873
home_points_last5,0.00761722
away_days_rest,0.0075830044
away_points_last5,0.007548072
home_draw_rate_last10,0.007454412
away_elo_momentum,0.007375828
away_xg_conceded_last5,0.0073302793
away_goals_scored_last5,0.007319038
home_streak,0.0072757234
home_draw_rate_last20,0.007263897
home_days_rest,0.007209327
away_total_goals_last10,0.007182128
home_xg_scored_last10,0.007167114
h2h_draw_rate,0.007060863
home_elo_momentum,0.0070540644
rest_diff,0.007002108
home_clean_sheet_rate_last5,0.0069795786
away_total_goals_last5,0.00696352
away_draw_rate_last20,0.0069583845
home_total_goals_last10,0.0069558714
away_clean_sheet_rate_last5,0.006926142
away_streak,0.006886834
away_draw_rate_last5,0.006757976
congestion_diff,0.006694453
home_total_goals_last5,0.006650781
home_draw_rate_last5,0.0065264315
away_draw_rate_last10,0.0062347646
