,importance
implied_home,0.23224312
implied_away,0.2293913
implied_draw,0.056902964
elo_diff,0.031793833
elo_home,0.014508674
home_goals_conceded_last20,0.013395475
home_points_last20,0.013079776
away_points_last20,0.012921127
elo_away,0.012208208
away_season_matches_played,0.012074966
away_goals_conceded_last20,0.011566852
home_points_last5,0.011452563
home_season_matches_played,0.011417013
away_points_last10,0.011399878
away_goals_scored_last20,0.011295868
home_goals_scored_last20,0.011272543
away_goals_scored_last10,0.011210853
home_points_last10,0.011165036
away_xg_scored_last5,0.011153032
home_xg_conceded_last5,0.0111360755
season_stage,0.01113534
home_xg_conceded_last10,0.011081825
away_total_goals_last10,0.0110763945
home_goals_conceded_last5,0.011063022
away_xg_scored_last10,0.010937087
home_streak,0.010848325
away_xg_conceded_last5,0.010727666
home_xg_scored_last10,0.010692341
away_goals_conceded_last10,0.010670033
away_points_last5,0.0106230285
away_goals_conceded_last5,0.010577616
away_xg_conceded_last10,0.01048996
home_clean_sheet_rate_last10,0.010260902
away_clean_sheet_rate_last5,0.010248586
home_total_goals_last10,0.010244769
home_xg_scored_last5,0.010215762
home_goals_conceded_last10,0.010161589
away_clean_sheet_rate_last10,0.010115278
home_total_goals_last5,0.010024198
away_goals_scored_last5,0.0099834
away_streak,0.009826534
home_goals_scored_last10,0.009770403
away_total_goals_last5,0.009367018
home_clean_sheet_rate_last5,0.009326928
home_goals_scored_last5,0.008942867
