,importance
elo_diff,0.23592241
elo_away,0.10769757
elo_home,0.09746817
home_points_last20,0.044191808
away_points_last20,0.03769621
away_goals_scored_last20,0.022082057
home_goals_scored_last20,0.01971034
away_points_last10,0.017913407
home_goals_conceded_last20,0.016619239
away_goals_scored_last10,0.015532046
away_xg_scored_last10,0.015055746
away_goals_conceded_last20,0.014693297
home_goals_scored_last5,0.014145769
away_xg_scored_last5,0.014088439
home_xg_conceded_last10,0.013734978
away_goals_conceded_last5,0.0137288505
home_goals_conceded_last10,0.013724757
away_season_matches_played,0.01353687
home_goals_scored_last10,0.013514537
home_xg_conceded_last5,0.013414985
away_goals_conceded_last10,0.013136296
home_points_last10,0.013043003
home_points_last5,0.012883119
home_season_matches_played,0.012763327
away_points_last5,0.011793097
home_goals_conceded_last5,0.011779475
away_total_goals_last10,0.011454868
away_goals_scored_last5,0.011417226
season_stage,0.011382288
home_xg_scored_last10,0.011160812
home_xg_scored_last5,0.0111495275
away_xg_conceded_last10,0.011130627
away_clean_sheet_rate_last5,0.011018338
away_xg_conceded_last5,0.01071482
away_streak,0.010585092
home_streak,0.010545429
away_clean_sheet_rate_last10,0.010423034
home_total_goals_last10,0.0100642815
home_total_goals_last5,0.009888182
home_clean_sheet_rate_last10,0.009885271
away_total_goals_last5,0.009864781
home_clean_sheet_rate_last5,0.009445592
