leagues,outcomes,edge_min,model_prob_min,n_bets,roi,win_rate
D1+E0,home,0.25,0.35,37,0.4244904559782892,0.6486486486486487
D1+E0,home,0.25,0.0,37,0.4244904559782892,0.6486486486486487
SP1,draw+away,0.25,0.45,41,0.4041436852557972,0.5121951219512195
P1,draw+away,0.25,0.0,30,0.38657709739664314,0.5666666666666667
P1,draw+away,0.25,0.35,30,0.38657709739664314,0.5666666666666667
SP1,draw+away,0.25,0.0,42,0.3823662488447569,0.5
SP1,draw+away,0.25,0.35,42,0.3823662488447569,0.5
SP1,draw+away,0.25,0.4,42,0.3823662488447569,0.5
B1+P1,draw+away,0.25,0.45,53,0.3651920915149388,0.5471698113207547
SP1,away,0.2,0.45,64,0.3602730347872387,0.59375
B1+P1,draw,0.2,0.45,61,0.3533872853491725,0.39344262295081966
D1+E0+E1,home,0.25,0.0,72,0.34120622188952665,0.7083333333333334
D1+E0+E1,home,0.25,0.35,72,0.34120622188952665,0.7083333333333334
D1+E0+E1+N1,home,0.25,0.35,80,0.3361917248973465,0.6875
D1+E0+E1+N1,home,0.25,0.0,80,0.3361917248973465,0.6875
B1+P1,draw+away,0.25,0.4,55,0.3347551863689561,0.5272727272727272
SP1,away,0.2,0.35,66,0.3336256841493852,0.5757575757575758
SP1,away,0.2,0.4,66,0.3336256841493852,0.5757575757575758
SP1,all,0.25,0.45,51,0.3203970579836916,0.49019607843137253
D1+E1,home,0.25,0.35,50,0.3166830751066006,0.7
D1+E1,home,0.25,0.0,50,0.3166830751066006,0.7
E0+E1,home,0.25,0.4,57,0.31410227571513105,0.7543859649122807
E0+E1,home,0.25,0.35,57,0.31410227571513105,0.7543859649122807
E0+E1,home,0.25,0.0,57,0.31410227571513105,0.7543859649122807
SP1,away,0.2,0.0,68,0.31299709176577045,0.5588235294117647
B1+P1,draw+away,0.25,0.35,57,0.30647246718937793,0.5087719298245614
B1+P1,draw+away,0.25,0.0,57,0.30647246718937793,0.5087719298245614
P1,draw+away,0.2,0.45,83,0.30429005543177523,0.5903614457831325
D1+E0+SP1,home,0.25,0.35,51,0.29902443924895356,0.5490196078431373
P1,all,0.25,0.45,58,0.2901896389598435,0.6206896551724138
D1+E0+SP1,home,0.25,0.0,52,0.28815177338877157,0.5384615384615384
D1+E0+SP1,away,0.25,0.45,48,0.2870432195437329,0.5833333333333334
P1,draw+away,0.2,0.4,85,0.28443804938191514,0.5764705882352941
P1,all,0.25,0.4,59,0.27831393834567525,0.6101694915254238
SP1,all,0.25,0.4,54,0.27359196732493274,0.46296296296296297
D1+E0+SP1,away,0.25,0.4,49,0.2723463609298719,0.5714285714285714
B1+P1,draw,0.2,0.4,66,0.27182825646730313,0.36363636363636365
D1,home,0.2,0.35,56,0.26972733821640105,0.5535714285714286
P1,all,0.25,0.35,60,0.26677158252005856,0.6
P1,all,0.25,0.0,60,0.26677158252005856,0.6
D1,draw,0.2,0.4,81,0.26672905578059036,0.37037037037037035
D1,draw,0.2,0.45,81,0.26672905578059036,0.37037037037037035
P1,draw+away,0.2,0.0,87,0.2660156750505708,0.5632183908045977
P1,draw+away,0.2,0.35,87,0.2660156750505708,0.5632183908045977
E1,home,0.25,0.0,35,0.2658928844321682,0.7714285714285715
E1,home,0.25,0.35,35,0.2658928844321682,0.7714285714285715
E1,home,0.25,0.4,35,0.2658928844321682,0.7714285714285715
E1,home,0.25,0.45,35,0.2658928844321682,0.7714285714285715
D1+E0+SP1,away,0.25,0.0,50,0.25904166274832247,0.56
D1+E0+SP1,away,0.25,0.35,50,0.25904166274832247,0.56
D1,home,0.2,0.0,63,0.2579121810718234,0.5079365079365079
D1+E0+E1+N1,home,0.25,0.4,77,0.2572489250891348,0.6883116883116883
D1+E0+E1,home,0.25,0.4,69,0.25663483193621933,0.7101449275362319
B1+D1+E0+E1,home,0.25,0.35,116,0.25041796042134123,0.7241379310344828
B1+D1+E0+E1,home,0.25,0.0,116,0.25041796042134123,0.7241379310344828
D1,draw,0.2,0.35,83,0.24777130379748016,0.3614457831325301
D1,draw,0.2,0.0,83,0.24777130379748016,0.3614457831325301
E0+E1,home,0.25,0.45,56,0.2476986160061966,0.75
D1+E0,home,0.25,0.4,34,0.2460328516939506,0.6470588235294118
SP1,all,0.25,0.35,56,0.24490846278457412,0.44642857142857145
B1+P1,draw+away,0.2,0.45,165,0.24339380667090474,0.5333333333333333
SP1,draw+away,0.2,0.45,89,0.24078306814749179,0.4943820224719101
D1,draw,0.15,0.0,150,0.2407086134071876,0.32
B1+D1+E0+P1,draw,0.2,0.45,182,0.23902724517136462,0.3516483516483517
SP1,all,0.25,0.0,57,0.2326273147878074,0.43859649122807015
E1,all,0.25,0.4,73,0.22901974036974057,0.6301369863013698
E1,all,0.25,0.0,73,0.22901974036974057,0.6301369863013698
E1,all,0.25,0.45,73,0.22901974036974057,0.6301369863013698
E1,all,0.25,0.35,73,0.22901974036974057,0.6301369863013698
D1,draw,0.15,0.4,127,0.2276094112956899,0.3464566929133858
B1+P1,draw,0.2,0.35,69,0.22718166188555625,0.34782608695652173
B1+P1,draw,0.2,0.0,69,0.22718166188555625,0.34782608695652173
B1+D1+E0+P1,home,0.25,0.35,111,0.2270103849949697,0.6846846846846847
B1+D1+E0+P1,home,0.25,0.0,111,0.2270103849949697,0.6846846846846847
D1,draw,0.1,0.45,109,0.2234520521979076,0.3486238532110092
D1,draw,0.08,0.45,109,0.2234520521979076,0.3486238532110092
D1,draw,0.15,0.45,109,0.2234520521979076,0.3486238532110092
P1,away,0.2,0.35,61,0.22303371400233107,0.6229508196721312
P1,away,0.2,0.0,61,0.22303371400233107,0.6229508196721312
P1,away,0.2,0.45,61,0.22303371400233107,0.6229508196721312
P1,away,0.2,0.4,61,0.22303371400233107,0.6229508196721312
SP1,draw+away,0.2,0.4,91,0.22213380402448243,0.4835164835164835
E0+E1,all,0.25,0.35,130,0.22007075252528194,0.5846153846153846
E0+E1,all,0.25,0.0,130,0.22007075252528194,0.5846153846153846
E0+E1,all,0.25,0.4,130,0.22007075252528194,0.5846153846153846
D1+E1,all,0.25,0.0,153,0.21936501818275767,0.49673202614379086
D1+E1,all,0.25,0.35,153,0.21936501818275767,0.49673202614379086
D1+E0+SP1,all,0.25,0.35,193,0.21737964033754953,0.44041450777202074
D1+E0+E1,all,0.25,0.35,210,0.21601361296826346,0.5047619047619047
D1+E0+E1,all,0.25,0.0,210,0.21601361296826346,0.5047619047619047
B1+P1,draw+away,0.2,0.4,171,0.21501245635106853,0.5146198830409356
SP1,draw+away,0.2,0.35,92,0.21426510925378975,0.4782608695652174
D1+E0+SP1,all,0.25,0.0,194,0.21417760060753743,0.4381443298969072
B1+P1,all,0.25,0.45,127,0.21352145708887893,0.6377952755905512
D1+E0+E1+N1,home,0.25,0.45,75,0.2116623388688203,0.6933333333333334
B1+D1+E0+P1,draw,0.2,0.4,188,0.2102525509804831,0.3404255319148936
D1+E0+E1,home,0.25,0.45,67,0.2076982612297871,0.7164179104477612
D1,all,0.25,0.35,80,0.20759186722872083,0.375
D1,all,0.25,0.0,80,0.20759186722872083,0.375
D1+E0,all,0.25,0.35,137,0.20747007950326138,0.43795620437956206
D1+E0,all,0.25,0.0,137,0.20747007950326138,0.43795620437956206
E0,all,0.25,0.0,57,0.20732786479086496,0.5263157894736842
E0,all,0.25,0.35,57,0.20732786479086496,0.5263157894736842
