leagues,outcomes,edge_min,sel_n,sel_roi,hld_n,hld_roi,hld_win,hld_per_season
F1+I1+T1,draw,0.1,631,-0.011914669231205051,381,0.2134782983947854,0.32020997375328086,54.42857142857143
D1+F1+I1+T1,draw,0.12,502,-0.0553442242806991,293,0.19773532678541159,0.310580204778157,41.857142857142854
F1+G1+I1+T1,draw,0.12,438,0.020671711068617066,295,0.19368777898499215,0.33559322033898303,42.142857142857146
E1+F1+I1,draw,0.1,692,0.017560877978226405,326,0.19323730731418923,0.3067484662576687,46.57142857142857
F1+G1+I1,draw,0.1,596,-0.01480746779855103,372,0.18984671145766163,0.3225806451612903,53.142857142857146
I1+T1,draw,0.1,373,-0.02154309896310187,318,0.18854559232538667,0.3270440251572327,45.42857142857143
E1+F1+I1+T1,draw,0.1,866,0.025114462832020287,471,0.18406436115182323,0.31210191082802546,67.28571428571429
F1+G1+I1+T1,draw,0.1,770,0.0015174448790233163,517,0.18229460385267715,0.3230174081237911,73.85714285714286
F1+I1+SP1+T1,draw,0.12,470,-0.07963572290634674,295,0.1822387717795998,0.3254237288135593,42.142857142857146
G1+P1,away,0.12,311,-0.01336393435626102,307,0.18137908497388103,0.5895765472312704,43.857142857142854
E0+F1+I1,draw,0.1,738,-0.04143632875172752,289,0.17896873904928334,0.2975778546712803,41.285714285714285
D1+F1+G1+I1,draw,0.12,472,-0.06525493205774137,293,0.17717867951028055,0.310580204778157,41.857142857142854
E0+F1+I1+T1,draw,0.1,912,-0.02227602534149006,434,0.1737805685383617,0.3064516129032258,62.0
E1+F1+T1,draw,0.1,667,0.05832127389934855,298,0.1704347673664169,0.30201342281879195,42.57142857142857
F1+G1+T1,draw,0.1,571,0.034012464774265665,344,0.16916874611005267,0.31976744186046513,49.142857142857146
D1+F1+I1+SP1,draw,0.12,504,-0.14643482923938198,293,0.16574760857753576,0.3003412969283277,41.857142857142854
E1+F1+G1+I1,draw,0.1,831,0.02490912276158334,462,0.16518942621843538,0.31385281385281383,66.0
D1+E0+I1+T1,draw,0.12,519,-0.11240459719312491,284,0.16430300138403042,0.30633802816901406,40.57142857142857
E1+I1+T1,draw,0.1,608,0.03391683245698154,408,0.16149704068677043,0.3161764705882353,58.285714285714285
G1+I1+T1,draw,0.1,512,0.0010081377389675138,454,0.16116936178650207,0.32819383259911894,64.85714285714286
D1+F1+I1+T1,draw,0.1,833,-0.06888956512245525,512,0.16106737654729575,0.294921875,73.14285714285714
F1+I1+SC0+T1,draw,0.1,795,-0.05733148568433401,489,0.16068917476786168,0.3047034764826176,69.85714285714286
D1+F1+I1,draw,0.1,659,-0.10032989580495437,367,0.15956312558936342,0.28337874659400547,52.42857142857143
F1+G1+I1+SP1,draw,0.12,440,-0.09268058996540429,295,0.1594024975231837,0.3254237288135593,42.142857142857146
G1+I1,draw,0.1,338,-0.027774416620547124,309,0.15934036570224766,0.3300970873786408,44.142857142857146
F1+I1+SC0,draw,0.1,621,-0.08989399900246413,344,0.15873853826031165,0.29651162790697677,49.142857142857146
E0+G1+I1+T1,draw,0.12,455,-0.05167653977351301,286,0.15805540518609915,0.3321678321678322,40.857142857142854
D1+G1+I1+T1,draw,0.12,426,-0.08152487183527005,346,0.15780077716586377,0.3179190751445087,49.42857142857143
F1+I1+N1+T1,draw,0.1,808,-0.028890302836099134,473,0.15762516715164004,0.2959830866807611,67.57142857142857
F1+I1+N1,draw,0.1,634,-0.052676887622590984,328,0.1540820270132179,0.28353658536585363,46.857142857142854
E0+E1+T1,home+draw,0.15,837,0.029403960463476028,383,0.15399254651126687,0.5744125326370757,54.714285714285715
D1+E1+I1+T1,draw,0.12,496,-0.02927287674036407,328,0.15377650139313256,0.3048780487804878,46.857142857142854
E0+F1+G1+I1,draw,0.1,877,-0.02476219628585045,425,0.15203956781517644,0.30823529411764705,60.714285714285715
D1+G1+P1,away,0.12,520,-0.006891824495491616,412,0.15178837167785844,0.5339805825242718,58.857142857142854
