leagues,outcomes,edge_min,sel_bets,sel_roi,hld_bets,hld_roi
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,all,0.08,18917,0.010371068020211129,10206,0.031071825814505735
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,all,0.1,13078,0.0053432841605358895,6863,0.02770763441095128
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,all,0.12,9012,0.007203117123413827,4489,0.045734063662219764
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,all,0.15,4998,0.01322815686382055,2383,0.045857480669766346
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,all,0.18,2686,0.005350331898914773,1213,0.052823611228562564
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,all,0.2,1815,0.0013191087820345862,787,0.05158068026678245
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,all,0.25,709,0.05567438438943611,259,0.014924567164030346
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home,0.08,9256,0.03185743456207115,3983,0.03969609438353805
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home,0.1,6598,0.030046846979538057,2762,0.03210283683099104
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home,0.12,4628,0.02861491786575161,1880,0.04789504142882738
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home,0.15,2636,0.03671515719681345,1034,0.06238189845156927
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home,0.18,1366,0.033987042268097505,526,0.08632028227049833
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home,0.2,890,0.016021826358187604,324,0.13381103216604226
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home,0.25,280,0.08358456318241056,85,0.15330160487141692
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw,0.08,4060,-0.02450354222582147,2631,0.01977334566196948
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw,0.1,2652,-0.031665183974201656,1648,0.030133364530329294
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw,0.12,1812,-0.03709160087156402,976,0.040953399945646916
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw,0.15,930,-0.0332506534613896,493,-0.0348531020970903
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw,0.18,549,-0.05779757242310395,282,0.003948381562658781
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw,0.2,400,-0.025983033535190256,207,-0.07268090953149077
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw,0.25,204,-0.003183461911582457,104,-0.17715105145559917
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,away,0.08,5601,-0.016968768059281616,3592,0.02307716132178793
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,away,0.1,3828,-0.02937659736478469,2453,0.01949953011542074
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,away,0.12,2572,-0.01704150599706308,1633,0.04410882800561736
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,away,0.15,1432,-0.016010908690821005,856,0.04985869010502789
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,away,0.18,771,-0.0207873448566057,405,0.017503124216539167
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,away,0.2,525,-0.011889191561226189,256,-0.014614261820667314
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,away,0.25,225,0.05742998319895572,70,0.011560055102477266
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home+draw,0.08,13316,0.020204472195402785,6614,0.034924741318795596
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home+draw,0.1,9250,0.01787629205215827,4410,0.031670273719642275
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home+draw,0.12,6440,0.01588106307380262,2856,0.04651754310659519
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home+draw,0.15,3566,0.023820408483399495,1527,0.043973851041507375
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home+draw,0.18,1915,0.015129941163706433,808,0.06879613014843473
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home+draw,0.2,1290,0.006485304380392135,531,0.08205461220102485
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,home+draw,0.25,484,0.05482990743047323,189,0.016374338934497534
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw+away,0.08,9661,-0.019719084120781227,6223,0.021980393329538647
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw+away,0.1,6480,-0.030185182328618648,4101,0.022824605887308134
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw+away,0.12,4384,-0.024084217226101875,2609,0.043188692175512765
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw+away,0.15,2362,-0.02182412531288348,1349,0.02556282695312981
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw+away,0.18,1320,-0.03390611578948628,687,0.013166488508485043
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw+away,0.2,925,-0.017065433401321797,463,-0.03508391738926551
B1+D1+E0+E1+F1+G1+I1+N1+P1+SC0+SP1+T1,draw+away,0.25,429,0.032704839082249526,174,-0.08094935052492186
B1,all,0.08,1232,0.01727403645400123,879,-0.004441330321003593
B1,all,0.1,855,-0.003943243853308019,582,-0.03260799851398472
B1,all,0.12,609,0.0188954719063083,352,-0.029887992332186614
B1,all,0.15,341,0.03358736087972446,208,-0.05787808982578717
B1,all,0.18,192,0.07526978082084201,114,-0.15170014520589398
B1,all,0.2,130,0.12493618277791534,78,-0.21867861398533242
B1,all,0.25,44,0.16652903545108602,25,-0.3214798142963537
B1,home,0.08,638,0.06382482952024082,300,-0.048606654995301715
B1,home,0.1,470,0.0623859238344471,221,-0.05715878377171575
B1,home,0.12,351,0.10287651466548249,147,-0.026592344768111006
B1,home,0.15,211,0.1168202152133808,91,-0.04147517010245949
B1,home,0.18,117,0.1626858590507651,57,-0.10026055128385189
B1,home,0.2,81,0.20908546853225643,36,-0.1462907851485344
B1,home,0.25,26,0.3615302812752436,9,-0.20871405282749317
B1,draw,0.08,258,-0.017329039284274393,245,-0.07085879181711391
B1,draw,0.1,178,-0.022043545476204216,140,-0.16151758855382378
B1,draw,0.12,127,-0.01098838606956755,69,-0.4346939247687084
B1,draw,0.15,70,0.02906455443298886,36,-0.3893148251503395
B1,draw,0.18,38,0.18472106770496768,20,-0.5154291899444162
B1,draw,0.2,24,0.33259640195493767,17,-0.609259376354309
B1,away,0.08,336,-0.10591502738936089,334,0.09454745594327911
B1,away,0.1,207,-0.23105504424429382,221,0.06694989792203965
B1,away,0.12,131,-0.30359387120589126,136,0.12414972301113232
B1,away,0.15,60,-0.3754064059245131,81,0.031470362268369516
B1,away,0.18,37,-0.41845061734639405,37,-0.11200720152518293
B1,away,0.2,25,-0.43369929962244563,25,-0.17065458901872035
B1,home+draw,0.08,896,0.04907972985723088,545,-0.054812624685470136
B1,home+draw,0.1,648,0.047791570534088175,361,-0.08171590631953739
B1,home+draw,0.12,478,0.08422193893495891,216,-0.10385630833456595
B1,home+draw,0.15,281,0.10366263645327423,127,-0.0998606617606942
B1,home+draw,0.18,155,0.16577670118545754,77,-0.1667252161485457
B1,home+draw,0.2,105,0.2251048241285865,53,-0.237257822855361
B1,home+draw,0.25,34,0.30521739947755183,19,-0.5145934005354995
B1,draw+away,0.08,594,-0.06932437478429312,579,0.03598754094817479
B1,draw+away,0.1,385,-0.14087871050327724,361,-0.006840361676147981
B1,draw+away,0.12,258,-0.17275936259804006,205,-0.03387845145616624
B1,draw+away,0.15,130,-0.18664293908358146,117,-0.07928172225955109
B1,draw+away,0.18,75,-0.15698600855113812,57,-0.2319131425007143
B1,draw+away,0.2,49,-0.11206351810822392,42,-0.3183848695956832
D1,all,0.08,1609,0.04748435557121065,805,-0.008483181320480275
D1,all,0.1,1120,0.04348060806417797,534,-0.028956521645100368
D1,all,0.12,787,0.03146239852811304,342,0.0009654440590541128
D1,all,0.15,433,0.03196962458689117,166,0.08448457547367133
D1,all,0.18,242,-0.004649601187274708,75,0.02430008199095789
D1,all,0.2,159,-0.011131641758686722,43,-0.10563996708657894
